#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	 	E29
4	4	        E27
5	5	        E25
42	6	2 	E2
6	7	 	E23
43	8	1	E4
7	9	  	E21
44	10	4	E6
8	11	8 	E19
45	12	 	E8
9	13	9 	E17
46	14	 	E10
10	15	  	E15
47	16	  	E12
11	17	5 	E13
48	18	10	E14
12	19	  	E11
49	20	  	E16
13	21	  	E9
50	22	7	E18
14	23	  	E7
51	24	6 	E20
15	25	  	E5
52	26	  	E22
16	27	  	E3
53	28	  	E24
17	29	  	E1
54	30	  	E26
21	31	  	E63
55	32	  	E28
22	33	  	E61
56	34	  	E30
23	35	11	E59
57	36	  	E32
24	37	12	E57
61	38	  	E34
25	39	  	E55
62	40	  	E36
26	41	  	E53
63	42	  	E38
64	43	13	E40
65	44	  	E42
66	45	14	E44
27	46	  	E51
67	47	15	E46
28	48	16	E49
68	49	17	E48
29	50	20	E47
69	51	18	E50
30	52	23	E45
70	53	  	E52
31	54	22	E43
71	55	21	E54
32	56	24	E41
72	57	19	E56
33	58	26	E39
73	59	  	E58
34	60	31	E37
74	61	25	E60
35	62	27	E35
75	63	28	E62
36	64	29	E33
76	65	30	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
