#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	2	E31
3	3	 	E29
4	4	        E27
5	5	4       E25
42	6	1 	E2
6	7	5	E23
43	8	 	E4
7	9	10	E21
44	10	3	E6
8	11	12	E19
45	12	7	E8
9	13	6 	E17
46	14	8	E10
10	15	13	E15
47	16	9 	E12
11	17	  	E13
48	18	19	E14
12	19	37	E11
49	20	11	E16
13	21	16	E9
50	22	20	E18
14	23	22	E7
51	24	14	E20
15	25	39	E5
52	26	15	E22
16	27	18	E3
53	28	21	E24
17	29	40	E1
54	30	38	E26
21	31	41	E63
55	32	23	E28
22	33	35	E61
56	34	17	E30
23	35	42	E59
57	36	24	E32
24	37	27	E57
61	38	25	E34
25	39	29	E55
62	40	36	E36
26	41	33	E53
63	42	26	E38
64	43	43	E40
65	44	34	E42
66	45	28	E44
27	46	32	E51
67	47	44	E46
28	48	30	E49
68	49	31	E48
29	50	46	E47
69	51	60	E50
30	52	49	E45
70	53	45	E52
31	54	48	E43
71	55	47	E54
32	56	50	E41
72	57	59	E56
33	58	52	E39
73	59	58	E58
34	60	55	E37
74	61	51	E60
35	62	56	E35
75	63	53	E62
36	64	54	E33
76	65	57	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
