#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	4	E31
3	3	1	E29
4	4	5       E27
5	5	19      E25
42	6	  	E2
6	7	32	E23
43	8	2	E4
7	9	9 	E21
44	10	3       E6
8	11	10	E19
45	12	8	E8
9	13	37	E17
46	14	15	E10
10	15	23	E15
47	16	6 	E12
11	17	16	E13
48	18	7	E14
12	19	13	E11
49	20	11      E16
13	21	14	E9
50	22	27	E18
14	23	18	E7
51	24	12	E20
15	25	  	E5
52	26	42	E22
16	27	22	E3
53	28	  	E24
17	29	  	E1
54	30	31	E26
21	31	20	E63
55	32	17	E28
22	33	41	E61
56	34	36	E30
23	35	25	E59
57	36	  	E32
24	37	28	E57
61	38	21	E34
25	39	30	E55
62	40	26	E36
26	41	35	E53
63	42	24	E38
64	43	46	E40
65	44	50	E42
66	45	33	E44
27	46	29	E51
67	47	51	E46
28	48	38	E49
68	49	40	E48
29	50	43	E47
69	51	45	E50
30	52	49	E45
70	53	34	E52
31	54	47	E43
71	55	  	E54
32	56	58	E41
72	57	53	E56
33	58	54	E39
73	59	55	E58
34	60	48	E37
74	61	39	E60
35	62	44	E35
75	63	56	E62
36	64	57	E33
76	65	52	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
