#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	 	E31
3	3	 	E29
4	4	        E27
5	5	6       E25
42	6	1 	E2
6	7	5	E23
43	8	 	E4
7	9	17	E21
44	10	 	E6
8	11	10	E19
45	12	 	E8
9	13	2 	E17
46	14	18	E10
10	15	3 	E15
47	16	9 	E12
11	17	37	E13
48	18	4	E14
12	19	12	E11
49	20	16	E16
13	21	42	E9
50	22	14	E18
14	23	46	E7
51	24	11	E20
15	25	41	E5
52	26	15	E22
16	27	54	E3
53	28	36	E24
17	29	13	E1
54	30	50	E26
21	31	49	E63
55	32	8 	E28
22	33	53	E61
56	34	35	E30
23	35	  	E59
57	36	34	E32
24	37	  	E57
61	38	7 	E34
25	39	24	E55
62	40	45	E36
26	41	44	E53
63	42	  	E38
64	43	33	E40
65	44	40	E42
66	45	25	E44
27	46	27	E51
67	47	26	E46
28	48	28	E49
68	49	48	E48
29	50	29	E47
69	51	52	E50
30	52	39	E45
70	53	30	E52
31	54	32	E43
71	55	31	E54
32	56	23	E41
72	57	43	E56
33	58	21	E39
73	59	47	E58
34	60	51	E37
74	61	22	E60
35	62	20	E35
75	63	19	E62
36	64	  	E33
76	65	38	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
