#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	4	E31
3	3	 	E29
4	4	1       E27
5	5	5       E25
42	6	3 	E2
6	7	6	E23
43	8	2	E4
7	9	12	E21
44	10	 	E6
8	11	8 	E19
45	12	 	E8
9	13	11	E17
46	14	 	E10
10	15	  	E15
47	16	9 	E12
11	17	  	E13
48	18	10	E14
12	19	  	E11
49	20	  	E16
13	21	  	E9
50	22	 	E18
14	23	18	E7
51	24	7 	E20
15	25	  	E5
52	26	   	E22
16	27	17	E3
53	28	  	E24
17	29	15	E1
54	30	  	E26
21	31	14	E63
55	32	  	E28
22	33	30	E61
56	34	24	E30
23	35	25	E59
57	36	  	E32
24	37	31	E57
61	38	13	E34
25	39	48	E55
62	40	16	E36
26	41	35	E53
63	42	19	E38
64	43	36	E40
65	44	42	E42
66	45	37	E44
27	46	20	E51
67	47	43	E46
28	48	26	E49
68	49	29	E48
29	50	23	E47
69	51	41	E50
30	52	47	E45
70	53	32	E52
31	54	44	E43
71	55	38	E54
32	56	21	E41
72	57	34	E56
33	58	33	E39
73	59	22	E58
34	60	28	E37
74	61	27	E60
35	62	45	E35
75	63	46	E62
36	64	39	E33
76	65	40	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
