# Id serial (old Id)
# serial missing for manuId 109, 110, 111 (1129, 1130, 1131)
  1  bp 11119 1
  2  bp 11143 2
  3  bp 11118 3
  4  bp 11132 4
  5  bp 11131 5
  6 nbp 11077 1028
  7 nbp 11073 1027
  8 nbp 11075 1026
  9 nbp 11074 1025
 10  bp 11121 6
 11  bp 11103 7
 12  bp 11104 8
 13  bp 11160 9
 14  bp 11129 10
 15 nbp 11087 1032
 16 nbp 11078 1031
 17 nbp 11076 1030
 18 nbp 11406 1029
101 nbp 11166 1125
102 nbp 11085 1126
103  bp 11171 102
104  bp 11146 101
105 nbp 11084 1127
106 nbp 11089 1128
107  bp 11158 104
108  bp 11116 103
109 nbp 40000 1129
110 nbp 40001 1130
111 nbp 40002 1131
112  bp 11117 109
113  bp 11072 108
114  bp 11126 107
115  bp 11136 106
116  bp 11124 105
201  bp 11099 201
202  bp 11100 202
203  bp 11079 203
204 nbp 11115 1226
205 nbp 11110 1225
206  bp 11141 204
207  bp 11161 205
208  bp 11172 206
209 nbp 11105 1228
210 nbp 11109 1227
211  bp 11168 207
212  bp 11128 208
213  bp 11125 209
214  bp 11133 210
215  bp 11150 211
216 nbp 10575 1232
217 nbp 11093 1231
218 nbp 11107 1230
219 nbp 11106 1229
301 nbp 11098 1325
302 nbp 11096 1326
303 nbp 10563 1327
304  bp 11162 305
305  bp 11130 304
306  bp 11101 303
307  bp 11080 302
308  bp 11102 301
309 nbp 11097 1328
310 nbp 11082 1329
311 nbp 11081 1330
312  bp 11134 310
313  bp 11147 309
314  bp 11159 308
315  bp 11163 307
316  bp 11120 306
