> Title:
PHOS MODULE # 2 - CALIBRATION and DEFORMATION MEASUREMENT BY DIGITAL PHOTOGRAMMETRY
> Date:
11/09/2006
> Subdetector:
PHOS
> Report URL:
https://edms.cern.ch/document/772860
> Version:
1
> General Observations:
Measurement of the 08/09/2006 is with prefix T1_
Measurement of the 11/09/2006 is with prefix T2_
Point Types: M(easured),T(ransformed), R(eference)
> Coordinate System:
LOCAL
> Units:
mm
> Nr Columns:
7
> Column Names:
Point Name,XLOCAL,YLOCAL,ZLOCAL,Point Type,Target Used,Precision(mm)
> Data:
T1_5000,-14.02,155.69,-41.19,R,Y,0.08
T1_5001,1436.54,154.47,-44.59,R,Y,0.08
T1_5002,1435.6,155.42,1292.74,R,Y,0.08
T1_5003,-13.56,155.55,1295.53,R,Y,0.08
T1_10000,1.59,-0.2,-0.34,M,Y,0.08
T1_10001,0.75,-0.5,45.39,M,Y,0.08
T1_10002,2.06,-0.41,91.17,M,Y,0.08
T1_10003,1.11,-0.47,136.55,M,Y,0.08
T1_10004,2.01,0.86,182.31,M,Y,0.08
T1_10005,1.96,-0.53,226.92,M,Y,0.08
T1_10006,1.6,-0.33,272.69,M,Y,0.08
T1_10007,1.55,-0.38,318.25,M,Y,0.08
T1_10008,1.32,-0.6,363.74,M,Y,0.08
T1_10009,1.4,0.43,409.1,M,Y,0.08
T1_10010,1.83,-0.28,454.23,M,Y,0.08
T1_10011,0.23,-0.31,499.42,M,Y,0.08
T1_10012,1.45,-0.12,545.45,M,Y,0.08
T1_10013,0.8,-0.07,590.91,M,Y,0.08
T1_10014,1.2,-0.39,636.09,M,Y,0.08
T1_10015,0.25,-0.38,681.22,M,Y,0.08
T1_10016,0.45,-0.19,726.73,M,Y,0.08
T1_10017,1.13,-0.07,772.27,M,Y,0.08
T1_10018,1.1,-0.45,817.25,M,Y,0.08
T1_10019,0.67,-0.15,863.99,M,Y,0.08
T1_10020,0.08,-0.15,909.64,M,Y,0.08
T1_10021,-0.09,0.12,954.33,M,Y,0.08
T1_10022,-0.27,-0.62,999.89,M,Y,0.08
T1_10023,-0.41,-0.29,1044.67,M,Y,0.08
T1_10024,1.3,-0.33,1090.49,M,Y,0.08
T1_10025,1.17,-0.17,1136.29,M,Y,0.08
T1_10026,1.28,-0.43,1182.37,M,Y,0.08
T1_10027,0.44,-0.11,1228.57,M,Y,0.08
T1_11000,160.17,-0.33,21.93,M,Y,0.08
T1_11001,159.75,-0.43,67.47,M,Y,0.08
T1_11002,160.33,0.3,112.72,M,Y,0.08
T1_11003,159.3,-0.14,157.91,M,Y,0.08
T1_11004,160.31,0.39,203.13,M,Y,0.08
T1_11005,159.55,-0.44,248.82,M,Y,0.08
T1_11006,159.71,-0.19,293.84,M,Y,0.08
T1_11007,159.99,-0.06,340.02,M,Y,0.08
T1_11008,159.96,-0.33,385.5,M,Y,0.08
T1_11009,159.65,0.19,431.08,M,Y,0.08
T1_11010,160.36,-0.23,476.47,M,Y,0.08
T1_11011,158.64,-0.45,521.7,M,Y,0.08
T1_11012,160.02,-0.33,567.03,M,Y,0.08
T1_11013,159.46,0.18,613.01,M,Y,0.08
T1_11014,159.95,-0.49,657.85,M,Y,0.08
T1_11015,158.38,-0.25,703.22,M,Y,0.08
T1_11016,159,-0.41,748.16,M,Y,0.08
T1_11017,160.07,1,793.54,M,Y,0.08
T1_11018,159.03,0.04,839.35,M,Y,0.08
T1_11019,159.64,-0.29,885.98,M,Y,0.08
T1_11020,158.3,0.07,931.2,M,Y,0.08
T1_11021,158.6,0.03,976.54,M,Y,0.08
T1_11022,158.18,-0.23,1021.54,M,Y,0.08
T1_11023,158.84,-0.71,1067.24,M,Y,0.08
T1_11024,159.07,-0.34,1112.42,M,Y,0.08
T1_11025,158.85,-0.49,1158.58,M,Y,0.08
T1_11026,159.4,-0.4,1204.28,M,Y,0.08
T1_11027,159.25,-0.39,1249.8,M,Y,0.08
T1_12000,182.9,-0.16,-0.15,M,Y,0.08
T1_12001,182.95,0.07,44.71,M,Y,0.08
T1_12002,182.56,0.03,90.16,M,Y,0.08
T1_12003,182.03,0.28,136,M,Y,0.08
T1_12004,183.19,0.06,182.38,M,Y,0.08
T1_12005,182.94,-0.27,227.56,M,Y,0.08
T1_12006,181.46,-0.17,273.2,M,Y,0.08
T1_12007,182.41,0.01,318.59,M,Y,0.08
T1_12008,182.58,-0.07,363.7,M,Y,0.08
T1_12009,182.44,0.22,408.88,M,Y,0.08
T1_12010,183.56,-0.03,455.3,M,Y,0.08
T1_12011,182.57,-0.13,500.86,M,Y,0.08
T1_12012,182.99,-0.16,546.38,M,Y,0.08
T1_12013,181.84,-0.21,591.66,M,Y,0.08
T1_12014,182.36,-0.21,637.1,M,Y,0.08
T1_12015,181.98,-0.1,683.03,M,Y,0.08
T1_12016,181.76,-0.2,728.11,M,Y,0.08
T1_12017,182.15,0.14,773.54,M,Y,0.08
T1_12018,181.07,0.64,818.8,M,Y,0.08
T1_12019,181.69,0.01,864.85,M,Y,0.08
T1_12020,181.52,-0.53,910.35,M,Y,0.08
T1_12021,181.12,0.09,955.42,M,Y,0.08
T1_12022,181.13,-0.36,1000.73,M,Y,0.08
T1_12023,182.83,1.16,1045.82,M,Y,0.08
T1_12024,181.35,0.48,1091.53,M,Y,0.08
T1_12025,181.12,-0.13,1136.65,M,Y,0.08
T1_12026,181.46,-0.01,1182.66,M,Y,0.08
T1_12027,181.77,0.28,1228.63,M,Y,0.08
T1_13000,340.95,0.15,22.52,M,Y,0.08
T1_13001,341.68,-0.25,68.03,M,Y,0.08
T1_13002,340.53,0.14,113.7,M,Y,0.08
T1_13003,340.5,-0.3,158.88,M,Y,0.08
T1_13004,340.96,0.06,205.02,M,Y,0.08
T1_13005,341.37,-0.07,250.54,M,Y,0.08
T1_13006,340.94,-0.23,295.67,M,Y,0.08
T1_13007,340.32,-0.16,341.36,M,Y,0.08
T1_13008,340.06,-0.45,386.59,M,Y,0.08
T1_13009,340.03,-0.23,431.98,M,Y,0.08
T1_13010,341.57,-0.06,478.03,M,Y,0.08
T1_13011,340.78,-0.23,523.72,M,Y,0.08
T1_13012,340.67,-0.64,568.18,M,Y,0.08
T1_13013,340.8,-0.74,613.98,M,Y,0.08
T1_13014,340.47,-0.32,659.21,M,Y,0.08
T1_13015,340.49,-0.15,704.35,M,Y,0.08
T1_13016,339.79,-0.05,749.56,M,Y,0.08
T1_13017,340.32,-0.43,795.64,M,Y,0.08
T1_13018,339.37,-0.47,841.14,M,Y,0.08
T1_13019,339.95,-0.4,886.46,M,Y,0.08
T1_13020,340.06,-0.2,931.85,M,Y,0.08
T1_13021,339.92,-0.03,977.23,M,Y,0.08
T1_13022,339.28,-0.22,1022.78,M,Y,0.08
T1_13023,339.64,-0.2,1068.26,M,Y,0.08
T1_13024,340.38,-0.39,1113.98,M,Y,0.08
T1_13025,339.04,-0.23,1159.33,M,Y,0.08
T1_13026,339.81,-0.49,1205.1,M,Y,0.08
T1_13027,339.21,-0.39,1251.2,M,Y,0.08
T1_14000,363.63,-0.35,-0.94,M,Y,0.08
T1_14001,363.97,0.45,44.75,M,Y,0.08
T1_14002,364.25,-0.42,90.33,M,Y,0.08
T1_14003,362.96,-0.28,136.45,M,Y,0.08
T1_14004,362.79,-0.46,182.07,M,Y,0.08
T1_14005,363.66,-0.18,228.11,M,Y,0.08
T1_14006,363.8,-0.73,273.31,M,Y,0.08
T1_14007,362.88,-0.15,318.85,M,Y,0.08
T1_14008,363.31,0.07,364.16,M,Y,0.08
T1_14009,362.6,-0.31,409.5,M,Y,0.08
T1_14010,363.85,-0.44,454.66,M,Y,0.08
T1_14011,363.83,-0.5,500.17,M,Y,0.08
T1_14012,363.41,-0.67,545.92,M,Y,0.08
T1_14013,363.16,-0.33,591.48,M,Y,0.08
T1_14014,363.08,-0.14,636.7,M,Y,0.08
