#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 1.500E+01 5.589E-01
 2.500E+01 4.947E-01
 3.500E+01 4.663E-01
 4.500E+01 4.937E-01
 5.500E+01 5.274E-01
 6.500E+01 5.632E-01
 7.500E+01 6.042E-01
 8.500E+01 6.411E-01
 9.500E+01 7.011E-01
 1.050E+02 7.411E-01
 1.150E+02 7.663E-01
 1.250E+02 7.926E-01
 1.350E+02 8.242E-01
 1.450E+02 8.558E-01
 1.550E+02 8.863E-01
 1.650E+02 9.084E-01
 1.750E+02 9.221E-01
 1.850E+02 9.347E-01
 1.950E+02 9.432E-01
 2.050E+02 9.463E-01
 2.150E+02 9.453E-01
 2.250E+02 9.400E-01
 2.350E+02 9.316E-01
 2.450E+02 9.189E-01
 2.550E+02 9.042E-01
 2.650E+02 8.874E-01
 2.750E+02 8.684E-01
 2.850E+02 8.484E-01
 2.950E+02 8.274E-01
 3.050E+02 8.074E-01
 3.150E+02 7.895E-01
 3.250E+02 7.705E-01
 3.350E+02 7.526E-01
 3.450E+02 7.347E-01
 3.550E+02 7.168E-01
 3.650E+02 7.011E-01
 3.750E+02 6.853E-01
 3.850E+02 6.705E-01
 3.950E+02 6.558E-01
 4.050E+02 6.421E-01
 4.150E+02 6.295E-01
 4.250E+02 6.179E-01
 4.350E+02 6.063E-01
 4.450E+02 5.947E-01
 4.550E+02 5.853E-01
 4.650E+02 5.768E-01
 4.750E+02 5.684E-01
 4.850E+02 5.611E-01
 4.950E+02 5.558E-01
 5.050E+02 5.537E-01
 5.150E+02 5.526E-01
 5.250E+02 5.537E-01
 5.350E+02 5.547E-01
 5.450E+02 5.600E-01
 5.550E+02 5.653E-01
 5.650E+02 5.674E-01
 5.750E+02 5.684E-01
 5.850E+02 5.642E-01
 5.950E+02 5.600E-01
 6.050E+02 5.516E-01
 6.150E+02 5.442E-01
 6.250E+02 5.347E-01
 6.350E+02 5.253E-01
 6.450E+02 5.158E-01
 6.550E+02 5.063E-01
 6.650E+02 4.989E-01
 6.750E+02 4.926E-01
 6.850E+02 4.895E-01
 6.950E+02 4.863E-01
 7.050E+02 4.874E-01
 7.150E+02 4.895E-01
 7.250E+02 4.926E-01
 7.350E+02 4.968E-01
 7.450E+02 5.032E-01
 7.550E+02 5.126E-01
 7.650E+02 5.221E-01
 7.750E+02 5.326E-01
 7.850E+02 5.432E-01
 7.950E+02 5.537E-01
 8.050E+02 5.621E-01
 8.150E+02 5.695E-01
 8.250E+02 5.747E-01
 8.350E+02 5.800E-01
 8.450E+02 5.842E-01
 8.550E+02 5.863E-01
 8.650E+02 5.874E-01
 8.750E+02 5.853E-01
 8.850E+02 5.789E-01
 8.950E+02 5.716E-01
 9.050E+02 5.653E-01
 9.150E+02 5.600E-01
 9.250E+02 5.537E-01
 9.350E+02 5.474E-01
 9.450E+02 5.421E-01
 9.550E+02 5.368E-01
